"Playlist ID","Album","Danceability","Energy","Song Name","Loudness","Key","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Duration_ms","Time Signature"
"1","Taylor Swift","0.58","0.491","Tim McGraw","-6.462","0","1","0.0251","0.575","0","0.121","0.425","76.009","232107","4"
"2","Taylor Swift","0.658","0.877","Picture To Burn","-2.098","7","1","0.0323","0.173","0","0.0962","0.821","105.586","173067","4"
"3","Taylor Swift","0.621","0.417","Teardrops On My Guitar - Radio Single Remix","-6.941","10","1","0.0231","0.288","0","0.119","0.289","99.953","203040","4"
"4","Taylor Swift","0.576","0.777","A Place in this World","-2.881","9","1","0.0324","0.051","0","0.32","0.428","115.028","199200","4"
"5","Taylor Swift","0.418","0.482","Cold As You","-5.769","5","1","0.0266","0.217","0","0.123","0.261","175.558","239013","4"
"6","Taylor Swift","0.589","0.805","The Outside","-4.055","5","1","0.0293","0.00491","0","0.24","0.591","112.982","207107","4"
"7","Taylor Swift","0.479","0.578","Tied Together with a Smile","-4.963","2","1","0.0294","0.525","0","0.0841","0.192","146.165","248107","4"
"8","Taylor Swift","0.594","0.629","Stay Beautiful","-4.919","8","1","0.0246","0.0868","0","0.137","0.504","131.597","236053","4"
"9","Taylor Swift","0.476","0.777","Should've Said No","-3.771","4","0","0.0289","0.0103","0","0.196","0.472","167.964","242200","4"
"10","Taylor Swift","0.403","0.627","Mary's Song (Oh My My My)","-5.28","2","1","0.0292","0.0177","0","0.182","0.374","74.9","213080","4"
"11","Taylor Swift","0.668","0.672","Our Song","-4.931","2","1","0.0303","0.111","0","0.329","0.539","89.011","201107","4"
"12","Taylor Swift","0.563","0.934","I'm Only Me When I'm With You","-3.629","8","1","0.0646","0.00452","0.000807","0.103","0.518","143.964","213053","4"
"13","Taylor Swift","0.612","0.394","Invisible","-5.723","7","1","0.0243","0.637","0","0.147","0.233","96.001","203227","4"
"14","Taylor Swift","0.483","0.751","A Perfectly Good Heart","-5.726","4","1","0.0365","0.00349","0","0.128","0.268","156.092","220147","4"
"15","Fearless","0.594","0.712","Fearless","-4.418","5","1","0.0273","0.04","0","0.309","0.476","99.972","241987","4"
"16","Fearless","0.556","0.651","Fifteen","-4.396","7","1","0.0266","0.067","0","0.145","0.203","95.485","294333","4"
"17","Fearless","0.618","0.741","Love Story","-3.95","2","1","0.031","0.17","0","0.0822","0.296","118.984","235267","4"
"18","Fearless","0.841","0.544","Hey Stephen","-7.347","6","1","0.0309","0.194","0.00000248","0.108","0.831","115.994","254307","4"
"19","Fearless","0.578","0.34","White Horse","-8.027","0","1","0.0264","0.305","0","0.104","0.223","92.702","234427","4"
"20","Fearless","0.687","0.783","You Belong With Me","-4.44","6","1","0.0386","0.162","0.0000135","0.114","0.443","129.964","231133","4"
"21","Fearless","0.505","0.482","Breathe","-7.372","1","1","0.0276","0.379","0","0.113","0.184","73.975","263973","4"
"22","Fearless","0.604","0.855","Tell Me Why","-3.097","7","1","0.038","0.0571","0.00000365","0.343","0.51","99.96","200547","4"
"23","Fearless","0.475","0.452","You're Not Sorry","-4.134","6","1","0.027","0.146","0.00000136","0.108","0.276","133.959","261787","4"
"24","Fearless","0.433","0.7","The Way I Loved You","-3.709","5","1","0.0336","0.0408","0","0.115","0.398","160.927","244227","4"
"25","Fearless","0.608","0.821","Forever & Always","-4.985","10","1","0.0576","0.0752","0","0.11","0.544","128.042","225320","4"
"26","Fearless","0.666","0.434","The Best Day","-8.543","1","1","0.0289","0.647","0.00000195","0.124","0.396","126.084","245333","4"
"27","Fearless","0.541","0.77","Change","-4.17","5","1","0.0354","0.00408","0","0.117","0.215","96.013","280240","4"
"28","Speak Now","0.624","0.757","Mine","-2.94","7","1","0.0296","0.00265","0.00000187","0.189","0.658","121.07","230707","4"
"29","Speak Now","0.605","0.787","Sparks Fly","-3.002","5","1","0.0308","0.0396","0.00000142","0.163","0.374","114.987","260933","4"
"30","Speak Now","0.529","0.67","Back To December","-4.663","2","1","0.0303","0.117","0","0.334","0.286","141.893","293027","4"
"31","Speak Now","0.709","0.599","Speak Now","-3.734","7","1","0.0304","0.095","0","0.0973","0.735","118.975","240760","4"
"32","Speak Now","0.589","0.47","Dear John","-5.32","4","1","0.028","0.166","0.00000145","0.112","0.102","119.386","403920","3"
"33","Speak Now","0.568","0.761","Mean","-3.987","4","1","0.0459","0.452","0","0.217","0.789","163.974","237733","4"
"34","Speak Now","0.543","0.818","The Story Of Us","-3.611","4","1","0.0398","0.00478","0.000368","0.0357","0.683","139.898","265667","4"
"35","Speak Now","0.714","0.305","Never Grow Up","-8.837","2","1","0.0305","0.819","0","0.174","0.554","124.91","290467","4"
"36","Speak Now","0.455","0.623","Enchanted","-3.878","8","1","0.0288","0.0739","0.000424","0.146","0.208","163.893","352187","4"
"37","Speak Now","0.516","0.917","Better Than Revenge","-3.186","11","0","0.0827","0.0139","0.00000637","0.36","0.635","145.821","217160","4"
"38","Speak Now","0.552","0.608","Innocent","-5.29","1","0","0.0259","0.186","0","0.125","0.17","134.05","302253","4"
"39","Speak Now","0.436","0.95","Haunted","-2.627","5","1","0.057","0.0826","0.00000108","0.149","0.352","162.088","242080","4"
"40","Speak Now","0.371","0.341","Last Kiss","-9.475","10","1","0.0319","0.57","0.0000309","0.101","0.196","89.038","367133","1"
"41","Speak Now","0.418","0.68","Long Live","-4.3","7","1","0.0346","0.036","0.0000759","0.108","0.142","204.125","317947","4"
"42","Red","0.588","0.825","State Of Grace","-5.882","4","1","0.0328","0.000197","0.00138","0.0885","0.397","129.968","295187","4"
"43","Red","0.602","0.896","Red","-4.267","1","0","0.0437","0.0773","0.0000887","0.091","0.641","124.978","220827","4"
"44","Red","0.705","0.621","Treacherous","-8.086","2","1","0.0334","0.101","0.0000043","0.147","0.395","109.993","240773","4"
"45","Red","0.622","0.469","I Knew You Were Trouble.","-6.798","3","0","0.0363","0.00454","0.00000225","0.0398","0.679","77.019","217973","4"
"46","Red","0.602","0.609","All Too Well","-7.803","0","1","0.0243","0.0382","0.0002","0.127","0.337","93.06","327893","4"
